ID Karyawan, Nama, Jabatan, Pendapatan
001, John Doe, Manajer, 10000000
002, Jane Smith, Analis, 8000000
003, Mike Johnson, Staff, 6000000
004, Sarah Lee, Analis, 7500000
005, David Wang, Staff, 5500000
006, Lisa Chen, Staff, 6000000
007, Kevin Tan, Manajer, 9500000
008, Emily Liu, Analis, 7000000
009, Michael Adams, Staff, 5000000
010, Jessica Kim, Analis, 8500000
011, Andrew Wong, Manajer, 9200000
012, Karen Ng, Analis, 7800000
013, Brian Lee, Staff, 5200000
014, Michelle Chen, Staff, 5900000
015, Steven Wang, Analis, 7200000
016, Angela Liu, Staff, 5100000
017, Robert Smith, Analis, 7600000
018, Lisa Tan, Staff, 5900000
019, Daniel Kim, Manajer, 9800000
020, Nancy Johnson, Staff, 5300000
021, Thomas Chen, Analis, 7100000
022, Linda Adams, Staff, 5300000
023, Eric Wang, Staff, 5700000
024, Jessica Chen, Analis, 7400000
025, Andrew Tan, Staff, 5400000
026, Melissa Liu, Manajer, 9700000
027, Chris Lee, Analis, 7600000
028, Emily Wang, Staff, 5200000
029, Michael Tan, Staff, 5800000
030, Jennifer Wu, Analis, 7000000
031, Jason Ng, Staff, 5600000
032, Lisa Wong, Staff, 6100000
033, Brian Chen, Manajer, 9900000
034, Michelle Liu, Analis, 7700000
035, David Ng, Staff, 5100000
036, Karen Chen, Staff, 6000000
037, Alex Wang, Analis, 7500000
038, Susan Lee, Staff, 5200000
039, Thomas Tan, Manajer, 9300000
040, Grace Zhang, Staff, 5600000
041, William Liu, Analis, 7000000
042, Sarah Chen, Staff, 5400000
043, Angela Zhang, Staff, 5900000
044, Daniel Lee, Analis, 7300000
045, Amy Wang, Staff, 5400000
046, Michael Chen, Manajer, 9600000
047, Nicole Tan, Analis, 7800000
048, Kevin Wu, Staff, 5300000
049, Jennifer Lee, Staff, 5700000
050, Ryan Kim, Analis, 7400000
